ptime_user,ptime_sys,ptime_none,ptime_other,pusing,freq_inst,pfreq,pram
1.7,1.0,97.0,0.29999999999999716,2.7,900.0615,23.685828947368424,0.0,
10.8,2.8,85.3,1.0999999999999943,14.7,967.0082500000001,25.44758552631579,0.0,
9.3,4.3,85.1,1.3000000000000114,14.9,900.0835,23.68640789473684,0.0,
1.8,1.0,97.1,0.10000000000000853,2.9,900.05175,23.685572368421052,0.0,
1.7,0.6,97.5,0.20000000000000284,2.5,1043.66825,27.46495394736842,0.0,
2.8,0.9,96.0,0.29999999999999716,4.0,955.9499999999999,25.15657894736842,0.0,
2.2,0.9,96.7,0.20000000000000284,3.3,900.21625,23.689901315789474,0.0,
2.4,1.0,96.4,0.19999999999998863,3.6,900.0615,23.685828947368424,0.0,
4.6,1.0,93.9,0.5,6.1,900.17975,23.688940789473687,0.0,
2.2,0.9,96.8,0.10000000000000853,3.2,900.06375,23.685888157894738,0.0,
2.8,1.3,95.5,0.4000000000000057,4.5,900.0450000000001,23.685394736842106,0.0,
4.5,1.3,93.8,0.4000000000000057,6.2,900.0597499999999,23.68578289473684,0.0,
7.3,2.1,89.9,0.6999999999999886,10.1,929.3489999999999,24.456552631578944,0.0,
7.4,2.8,89.2,0.5999999999999943,10.8,900.044,23.68536842105263,0.0,
7.0,4.0,88.2,0.7999999999999972,11.8,900.06525,23.685927631578945,0.0,
4.4,2.1,93.2,0.29999999999999716,6.8,902.70075,23.75528289473684,0.0,
4.1,2.0,91.9,2.0,6.8,900.0795,23.68630263157895,0.0,
1.7,0.7,97.5,0.09999999999999432,2.5,900.0482499999999,23.685480263157896,0.0,
1.2,0.6,98.1,0.10000000000000853,1.9,1904.81675,50.126756578947365,0.0,
3.5,1.3,95.0,0.20000000000000284,5.0,900.1005,23.686855263157895,0.0,
3.6,1.0,95.0,0.4000000000000057,4.9,900.09425,23.686690789473683,0.0,
2.0,0.7,97.1,0.20000000000000284,2.9,900.0844999999999,23.686434210526315,0.0,
2.8,1.0,96.2,0.0,3.8,1871.4122499999999,49.24769078947368,0.0,
2.4,0.6,96.8,0.20000000000000284,3.2,900.067,23.685973684210527,0.0,
3.0,0.6,96.2,0.20000000000000284,3.8,2264.62475,59.59538815789474,0.0,
2.5,0.7,96.6,0.20000000000000284,3.4,900.0875000000001,23.68651315789474,0.0,
3.2,0.7,96.0,0.09999999999999432,4.0,900.10425,23.686953947368423,0.0,
4.7,0.7,94.4,0.19999999999998863,5.6,903.11175,23.766098684210526,0.0,
3.5,0.8,95.6,0.10000000000000853,4.4,900.06125,23.685822368421054,0.0,
4.3,1.1,94.1,0.5,5.9,1149.029,30.237605263157892,0.0,
3.0,0.9,95.9,0.19999999999998863,4.1,900.0885000000001,23.686539473684213,0.0,
5.3,0.7,93.5,0.5,6.5,900.0527500000001,23.68559868421053,0.0,
3.8,0.6,95.5,0.09999999999999432,4.5,900.0635000000001,23.68588157894737,0.0,
1.4,0.9,97.6,0.10000000000000853,2.4,900.08475,23.686440789473686,0.0,
2.8,1.2,95.7,0.29999999999999716,4.2,900.084,23.686421052631577,0.0,
3.4,1.1,95.0,0.5,5.0,924.4797499999999,24.32841447368421,0.0,
2.3,1.0,96.4,0.29999999999999716,3.6,900.077,23.686236842105263,0.0,
1.0,0.7,98.3,0.0,1.7,900.07625,23.686217105263157,0.0,
1.8,0.7,97.1,0.4000000000000057,2.9,900.06475,23.68591447368421,0.0,
3.1,1.5,94.2,1.2000000000000028,5.1,900.0817499999999,23.68636184210526,0.0,
2.7,1.3,95.6,0.4000000000000057,4.2,900.0842500000001,23.68642763157895,0.0,
1.6,0.8,97.6,0.0,2.4,1711.2517500000001,45.03294078947369,0.0,
2.7,0.7,96.5,0.09999999999999432,3.5,1456.5939999999998,38.331421052631576,0.0,
3.7,0.8,95.2,0.29999999999999716,4.8,900.06825,23.686006578947367,0.0,
4.9,0.9,93.8,0.4000000000000057,6.2,900.07575,23.68620394736842,0.0,
6.2,0.7,92.4,0.6999999999999886,7.6,1671.90575,43.9975197368421,0.0,
5.8,1.0,92.1,1.1000000000000085,7.6,911.0072499999999,23.973874999999996,0.0,
3.6,0.6,95.6,0.20000000000000284,4.4,900.1080000000001,23.687052631578947,0.0,
4.2,0.9,94.4,0.5,5.6,2738.234,72.0587894736842,0.0,
5.1,0.6,93.9,0.3999999999999915,6.0,1831.4252499999998,48.19540131578947,0.0,
1.4,0.9,97.6,0.10000000000000853,2.4,900.084,23.686421052631577,0.0,
2.6,1.3,95.8,0.29999999999999716,4.2,900.0504999999999,23.68553947368421,0.0,
2.4,0.9,96.5,0.20000000000000284,3.5,900.055,23.685657894736842,0.0,
1.1,0.7,98.2,0.0,1.8,900.0754999999999,23.68619736842105,0.0,
0.9,0.8,98.2,0.09999999999999432,1.8,900.0640000000001,23.68589473684211,0.0,
0.9,0.7,98.3,0.10000000000000853,1.7,900.06375,23.685888157894738,0.0,
2.9,1.2,95.6,0.30000000000001137,4.3,2283.852,60.101368421052626,0.0,
5.6,2.1,91.4,0.8999999999999915,8.1,900.12475,23.68749342105263,0.0,
1.3,0.4,97.9,0.3999999999999915,2.1,900.2572500000001,23.690980263157897,0.0,
0.9,0.3,98.7,0.09999999999999432,1.3,900.3085,23.69232894736842,0.0,
1.5,0.7,97.5,0.29999999999999716,2.4,900.2447500000001,23.690651315789474,0.0,
0.8,0.7,98.4,0.09999999999999432,1.6,900.145,23.688026315789475,0.0,
0.4,0.2,99.3,0.10000000000000853,0.7,900.09925,23.686822368421055,0.0,
