"No.","Time","Source","Destination","Protocol","Length","Info"
"396","4018.939890489","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=14945 Ack=5545 Win=64384 Len=72 TSval=2986640429 TSecr=3615897730"
"397","4018.939915732","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5545 Ack=15017 Win=64128 Len=0 TSval=3615897758 TSecr=2986640429"
"398","4048.404038360","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=15017 Ack=5545 Win=64384 Len=376 TSval=2986669893 TSecr=3615897758"
"399","4048.404072103","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5545 Ack=15393 Win=64128 Len=0 TSval=3615927222 TSecr=2986669893"
"400","4073.543667861","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=15393 Ack=5545 Win=64384 Len=376 TSval=2986695033 TSecr=3615927222"
"401","4073.543692043","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5545 Ack=15769 Win=64128 Len=0 TSval=3615952362 TSecr=2986695033"
"402","4078.668124713","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"403","4078.676152821","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"404","4133.956169509","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=5545 Ack=15769 Win=64128 Len=83 TSval=3616012774 TSecr=2986695033"
"405","4133.985083018","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=15769 Ack=5628 Win=64384 Len=72 TSval=2986755474 TSecr=3616012774"
"406","4133.985110915","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5628 Ack=15841 Win=64128 Len=0 TSval=3616012803 TSecr=2986755474"
"407","4139.084178974","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"408","4139.092473368","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"409","4187.186738252","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=15841 Ack=5628 Win=64384 Len=376 TSval=2986808676 TSecr=3616012803"
"410","4187.186786486","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5628 Ack=16217 Win=64128 Len=0 TSval=3616066005 TSecr=2986808676"
"411","4192.332126881","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"412","4192.336273506","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"413","4203.221055156","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=16217 Ack=5628 Win=64384 Len=376 TSval=2986824710 TSecr=3616066005"
"414","4203.221087997","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5628 Ack=16593 Win=64128 Len=0 TSval=3616082039 TSecr=2986824710"
"415","4263.244303254","10.29.230.57","199.247.27.41","TCP","66","[TCP Keep-Alive] 39680  >  3333 [ACK] Seq=5627 Ack=16593 Win=64128 Len=0 TSval=3616142062 TSecr=2986824710"
"416","4263.271996607","199.247.27.41","10.29.230.57","TCP","66","[TCP Keep-Alive ACK] 3333  >  39680 [ACK] Seq=16593 Ack=5628 Win=64384 Len=0 TSval=2986884761 TSecr=3616082039"
"417","4263.978200881","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=5628 Ack=16593 Win=64128 Len=83 TSval=3616142796 TSecr=2986884761"
"418","4264.005821093","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=16593 Ack=5711 Win=64384 Len=72 TSval=2986885495 TSecr=3616142796"
"419","4264.005845216","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5711 Ack=16665 Win=64128 Len=0 TSval=3616142824 TSecr=2986885495"
"420","4324.988192711","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=5711 Ack=16665 Win=64128 Len=83 TSval=3616203806 TSecr=2986885495"
"421","4325.015855281","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=16665 Ack=5794 Win=64384 Len=72 TSval=2986946505 TSecr=3616203806"
"422","4325.015881061","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5794 Ack=16737 Win=64128 Len=0 TSval=3616203834 TSecr=2986946505"
"423","4329.296227963","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=16737 Ack=5794 Win=64384 Len=376 TSval=2986950785 TSecr=3616203834"
"424","4329.296258436","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5794 Ack=17113 Win=64128 Len=0 TSval=3616208114 TSecr=2986950785"
"425","4330.060341733","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"426","4330.065149009","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"427","4331.356432654","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=17113 Ack=5794 Win=64384 Len=376 TSval=2986952844 TSecr=3616208114"
"428","4331.356468190","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5794 Ack=17489 Win=64128 Len=0 TSval=3616210174 TSecr=2986952844"
"429","4356.666091716","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=17489 Ack=5794 Win=64384 Len=376 TSval=2986978155 TSecr=3616210174"
"430","4356.666115523","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5794 Ack=17865 Win=64128 Len=0 TSval=3616235484 TSecr=2986978155"
"431","4361.804165766","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"432","4361.811690397","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"433","4417.004164742","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=5794 Ack=17865 Win=64128 Len=83 TSval=3616295822 TSecr=2986978155"
"434","4417.031763527","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=17865 Ack=5877 Win=64384 Len=72 TSval=2987038521 TSecr=3616295822"
"435","4417.031788275","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5877 Ack=17937 Win=64128 Len=0 TSval=3616295850 TSecr=2987038521"
"436","4422.220124799","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"437","4422.225957906","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"438","4440.870818413","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=17937 Ack=5877 Win=64384 Len=376 TSval=2987062360 TSecr=3616295850"
"439","4440.870854815","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5877 Ack=18313 Win=64128 Len=0 TSval=3616319689 TSecr=2987062360"
"440","4446.028160453","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"441","4446.034876228","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"442","4501.012176840","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=5877 Ack=18313 Win=64128 Len=83 TSval=3616379830 TSecr=2987062360"
"443","4501.040849438","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=18313 Ack=5960 Win=64384 Len=72 TSval=2987122530 TSecr=3616379830"
"444","4501.040875645","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5960 Ack=18385 Win=64128 Len=0 TSval=3616379859 TSecr=2987122530"
"445","4506.188153727","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"446","4506.194369027","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"447","4556.276206934","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=18385 Ack=5960 Win=64384 Len=376 TSval=2987177765 TSecr=3616379859"
"448","4556.276240660","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5960 Ack=18761 Win=64128 Len=0 TSval=3616435094 TSecr=2987177765"
"449","4561.484164356","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"450","4561.491550330","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"451","4571.973027725","10.29.230.57","10.29.228.2","DHCP","330","DHCP Request  - Transaction ID 0xcaaa8d07"
"452","4571.994331432","10.29.228.2","10.29.230.57","DHCP","446","DHCP ACK      - Transaction ID 0xcaaa8d07"
"453","4572.000823702","10.29.228.2","10.29.230.57","DHCP","446","DHCP ACK      - Transaction ID 0xcaaa8d07"
"454","4577.100137125","RealtekU_4c:cc:50","Cisco_f9:60:c0","ARP","42","Who has 10.29.228.2? Tell 10.29.230.57"
"455","4577.112227466","Cisco_f9:60:c0","RealtekU_4c:cc:50","ARP","60","10.29.228.2 is at 00:23:eb:f9:60:c0"
